Grade,Module,ID
A1,MA4002,12
C3,MS4131,12
B2,MR9912,22
A2,MR9912,22
B2,MA4002,12
C2,MS4131,5
A1,MT2341,22
B3,ME1234,20
C1,MN6349,21
D1,MD8427,12
A2,MT5544,5
C3,MN9012,22
B1,MR4004,20
D2,MR4003,21
F,MP0091,12
A1,MP8763,5
B2,MM1222,22
C1,MQ1671,20
D1,MR9912,21
A2,MB9113,12
C2,MS4131,5
A1,MT2341,22
B3,ME1234,20
C1,MN6349,21
D1,MD8427,12
A2,MT5544,5
C3,MN9012,22
B1,MR4004,20
D2,MR4003,21
F,MP0091,12
A1,MP8763,5
B2,MM1222,22
C1,MQ1671,20
D1,MR9912,21
A2,MB9113,12
A1,MR4004,5
C2,MR4003,22
D1,MP0091,20
F,MP8763,21
B3,MM1222,12
A1,MQ1671,5
C1,MR9912,22
B2,MB9113,20
D2,MR4004,21